Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
96,7,63573,64869,आचरा,Achara,मालवण,Malvan,"हिर्लेवाडी ,बौध्दवाडी,पाटवाडी",27,16:30,17:30,OBL,DAIL,,146,10:45,07:10,,,,169
97,1,11015,64870,मालवण,Malvan,देवबाग,Deobag,,12,08:15,08:50,SCL,SUN,,,,,,,,171
98,2,20136,64871,देवबाग,Deobag,मालवण,Malvan,,12,09:00,09:35,OBL,SUN,,,,,,,,172
99,3,11062,64872,मालवण,Malvan,शेलटी,Shelti,,12,10:00,10:30,OBL,SUN,,,,,,,,173
100,4,20194,64873,शेलटी,Shelti,मालवण,Malvan,,12,10:40,11:10,OBL,SUN,,,,,,,,174
101,5,128533,64874,मालवण,Malvan,आचरा,Achara,"कांदळगाव ,राणेवाडी",20.5,14:00,14:55,SCL,DAIL,,,,,,,,175
102,6,151016,64875,आचरा,Achara,आचरा,Achara,"हिर्लेवाडी ,बौध्दवाडी,पाटवाडी",15,15:05,15:55,SCL,SUN,,,,,,,,176
103,7,151038,64876,आचरा,Achara,मालवण,Malvan,"पोइर्प बांदिवडे,मसुरे ,कांदळगाव,",59,16:15,18:20,SCL,DAIL,विश्रांती 11.10 ते 14.00,142.5,10:50,07:45,,,,177
105,1,11015,64877,मालवण,Malvan,देवबाग,Deobag,साधी,12,11:30,12:05,SCL,SUN,,,,,,,,179
106,2,20136,64878,देवबाग,Deobag,मालवण,Malvan,साधी,12,12:10,12:45,SCL,SUN,,,,,,,,180
107,3,125494,64879,मालवण,Malvan,कुडाळ,Kudal St Depot,"कट्टा ,पेंडुर",34,13:00,14:15,SCL,DAIL,विश्रांती 15.45 ते 16.30,,,,,,,181
108,4,126013,64880,कुडाळ,Kudal St Depot,मालवण,Malvan,"पेंडुर ,कट्टा",34,14:30,15:45,SCL,DAIL,,,,,,,,182
109,5,154832,64881,मालवण,Malvan,शिरोडा,Shiroda,"परुळे,म्हापण,वेंगुर्ले (,शिरोडा केरवाडा येथे सोय नसल्याने )",62.7,16:30,18:10,SCL,DAIL,,154.7,08:20,07:35,,,,183
110,1,154834,64882,शिरोडा,Shiroda,मालवण,Malvan,"(,शिरोडा केरवाडा येथे सोय नसल्याने )म्हापण,परुळे",62.7,07:00,08:40,SCL,DAIL,,,,,,,,185
111,2,11038,64883,मालवण,Malvan,कसाल,Kasal,सिंधुदुर्गनगरी,37.3,09:05,10:15,OBL,DAIL,,,,,,,,186
112,3,20169,64884,कसाल,Kasal,मालवण,Malvan,"खोटले,कट्टा (11.30-12.00 वा.सुटणमार्गे पोईप महान-19 किमी बंद)",39.2,10:20,11:40,SCL,DAIL,6 तांसात डयुटी संपते,139.2,05:05,05:05,,,,187
113,1,11056,64885,मालवण,Malvan,मसुरे कावा,Masure Kawa,"कांदळगाव ,",22,09:00,09:45,SCL,SUN,,,,,,,,189
114,2,20188,64886,मसुरे कावा,Masure Kawa,मालवण,Malvan,कांदळगाव,22,09:55,10:40,SCL,SUN,विश्रांंती 10.40 ते 11.30,,,,,,,190
115,3,71136,64887,मालवण,Malvan,कणकवली,Kankavli,कसाल (विभा.कार्यशाळा),45,11:30,12:50,OBL,DAIL,,,,,,,,191
116,4,71147,64888,कणकवली,Kankavli,मालवण,Malvan,कसाल ( जुनी वेळ 15.00 बदलली ),45,15:30,16:50,OBL,DAIL,,134,08:35,05:25,,,,192
117,1,11068,64889,मालवण,Malvan,तारकर्ली,Tarkarli,"वायरी,देवली",11.2,06:00,06:30,SCL,SUN,,,,,,,,194
118,2,20210,64890,तारकर्ली,Tarkarli,मालवण,Malvan,,9.2,06:35,07:10,SCL,SUN,,,,,,,,195
119,3,126139,64891,मालवण,Malvan,सिंधुदुर्गनगरी,Sindhudurgnagari,डॉनबॉसको,30,07:15,08:15,SCL,SUN,,,,,,,,196
120,4,143023,64892,सिंधुदुर्गनगरी,Sindhudurgnagari,चौके,Chouke,डॉनबॉसको,21,08:25,09:05,SCL,SUN,,,,,,,,197
121,5,143027,64893,चौके,Chouke,बागायत,Bagayat,,19,09:15,09:45,OBL,DAIL,,,,,,,,198
122,6,20123,64894,बागायत,Bagayat,मालवण,Malvan,,22,09:50,10:45,OBL,DAIL,विश्रांती 10.45 ते 12.30,,,,,,,199
123,7,126139,64895,मालवण,Malvan,सिंधुदुर्गनगरी,Sindhudurgnagari,"चौके ,कट्टा (नवीन)",30,12:30,13:30,SCL,SUN,,,,,,,,200
124,8,122701,64896,सिंधुदुर्गनगरी,Sindhudurgnagari,मालवण,Malvan,"कट्टा ,चौके (नवीन)",30,13:45,14:45,SCL,SUN,,172.4,09:30,07:40,,,,201
125,1,11015,64897,मालवण,Malvan,देवबाग,Deobag,,12,13:15,13:50,OBL,DAIL,,,,,,,,203
126,2,20136,64898,देवबाग,Deobag,मालवण,Malvan,साधी,12,13:55,14:35,OBL,DAIL,,,,,,,,204
127,3,11015,64899,मालवण,Malvan,देवबाग,Deobag,साधी,12,14:45,15:20,OBL,DAIL,,,,,,,,205
128,4,20136,64900,देवबाग,Deobag,मालवण,Malvan,साधी,12,15:25,16:00,OBL,DAIL,,,,,,,,206
129,5,11015,64901,मालवण,Malvan,देवबाग,Deobag,साधी,12,16:15,16:50,OBL,DAIL,,,,,,,,207
130,6,20136,64902,देवबाग,Deobag,मालवण,Malvan,साधी,12,17:00,17:35,OBL,DAIL,,,,,,,,208
131,7,11015,64903,मालवण,Malvan,देवबाग,Deobag,साधी,12,17:45,18:20,OBL,DAIL,,,,,,,,209
132,8,20136,64904,देवबाग,Deobag,मालवण,Malvan,साधी,12,18:25,19:05,OBL,DAIL,,,,,,,,210
133,9,11015,64905,मालवण,Malvan,देवबाग,Deobag,साधी,12,19:15,19:55,OBL,DAIL,,,,,,,,211
134,10,20136,64906,देवबाग,Deobag,मालवण,Malvan,साधी,12,20:05,20:45,OBL,DAIL,,120,08:15,08:00,,,,212
135,1,125491,64907,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,08:30,09:30,RAIL CN,DAIL,,,,,,,,214
136,2,19952,64908,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,10:00,11:00,RAIL CN,DAIL,,,,,,,,215
137,3,11046,64909,मालवण,Malvan,कुडाळ,Kudal St Depot,धामापुर,28.3,14:30,15:30,Nob,DAIL,,,,,,,,216
138,4,125585,64910,कुडाळ,Kudal St Depot,मालवण,Malvan,धामापुर,28.3,15:45,16:45,Nob,DAIL,विश्रांती 11.00 ते 14.30,,,,,,,217
139,5,11003,64911,मालवण,Malvan,बागायत,Bagayat,आंबडोस,22,16:55,17:40,SCL,SUN,,,,,,,,218
140,6,125689,64912,बागायत,Bagayat,मालवण,Malvan,"आंबडोस ,मिरवेल",28,17:45,18:45,SCL,SUN,,165.6,11:00,07:05,,,,219
141,1,126187,64913,मालवण,Malvan,वेंगुर्ले,Vengurle,"परुळे ,म्हापण",48,14:00,15:40,OBL,DAIL,,,,,,,,221
142,2,11279,64914,वेंगुर्ले,Vengurle,मालवण,Malvan,"म्हापण,परुळे",48,16:00,17:35,OBL,DAIL,,,,,,,,222
143,3,71136,64915,मालवण,Malvan,कणकवली,Kankavli,कसाल,45,18:15,19:35,SCH,DAIL,विश्रांती 17.35 ते 18.00,,,,,,,223
144,4,11320,64916,कणकवली,Kankavli,अजगणी,Asgani Gpo,"सातरल ,कासरल",18,19:45,20:30,OBL,DAIL,,159,07:10,06:20,,,,224
145,1,18845,64917,अजगणी,Asgani Gpo,कणकवली,Kankavli,किर्लाेस,28,06:00,06:45,SCH,DAIL,,,,,,,,225
