Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
29,2,125878,66299,आचरा,Achara,देवगड,Devgad,"पोयरे, खुडी, किंजवडे, लिंगडाळगाव",51,13:30,15:15,SC,DAILY,विश्रांती 15.15 ते 16.45,,,,शालेय,SCHOOL,125878,186
29,3,125881,66300,देवगड,Devgad,कुणकवण,Kunkawan,"नाडण, मोंड, गोवळ, उन्डीलतिठा, तरळे(धरणाचे काम पूर्ण झाल्याने 14 किमी वाढ)",77,16:45,18:55,SC,DAILY,,,,,बंधनकारक,,125881,187
30,1,125890,66301,कुणकवण,Kunkawan,खारेपाटण,Kharepatan,"देऊळवाडी, कुणकवणशाळा (धरणाचे काम पूर्ण झाल्याने 21 किमी घट)",9,05:45,06:45,SC,DAILY,6 तासांत ड्युटी संपते,143.4,6h 45m,5h 45m,शालेय,,125890,189
30,2,125898,66302,खारेपाटण,Kharepatan,देवगड,Devgad,"उन्डीलवड, गोवळ, मोंड, नाडण (धरणाचे काम पूर्ण झाल्याने 12 किमी वाढ)",81,06:55,09:15,OPT-SC,DAILY,,,,,शालेय,,125898,190
30,3,10753,66303,देवगड,Devgad,तळेबाजार,Talebazar,"हनुमान मंदिर टेंबवली, बागतळवडे",26.7,10:15,11:05,NON-TPL,DAILY,,,,,TAPAL,,128558,191
30,4,29851,66304,तळेबाजार,Talebazar,देवगड,Devgad,"हनुमान मंदिरबागतळवडे, टेंबवली",26.7,11:15,12:05,NON-TPL,DAILY,,,,,TAPAL,SCHOOL,125812,192
31,1,10746,66305,देवगड,Devgad,पालये,Palye,"फणसे, पडवणे,",24,08:15,09:05,OBL,DAILY,,143.9,10h 45m,6h 25m,शालेय,,125619,193
31,2,29846,66306,पालये,Palye,देवगड,Devgad,पडवणे,17.9,09:15,09:55,SC,DAILY,विश्रांती 9.55 ते 13.30,,,,शालेय,SCHOOL,125624,194
31,3,10758,66307,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"कट्टाशाळा, तळेबाजार, लिंगडाळगाव",40,13:30,15:00,SC,DAILY,,,,,शालेय,SCHOOL,125903,195
31,4,29858,66308,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,"लिंगडाळगाव, तळेबाजार",38,15:10,16:35,OBL,DAILY,,,,,शालेय,SCHOOL,125905,196
