Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
,3,11175,64114,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,tiroda MALEWAD  TIRODA,35.2,14:20,15:30,OBL,,,,,,,,ORD,449
,4,18737,64115,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,15:45,16:40,OBL,,,,,,,,ORD,450
,5,11166,64116,सावंतवाडी,Sawantwadi,फणसखोल,Phanaskhol Ganesh Mandir,MALEWAD  SHIRODA,35.2,17:00,18:20,ST,,,,,,,,ORD,451
56,1,117648,64466,सावंतवाडी,Sawantwadi,फणसवाडी,Phanaswadi,BANDA DODAMARG BHEDSHI KHOKRAL TALEWADI,65.9,11:00,01:33,NOBL,,,,,,,,ORD,453
56,2,60668,64467,फणसवाडी,Phanaswadi,दोडामार्ग,Dodamarg,TALEWADI KHOKRAL BHEDSHI,29,15:20,01:44,NOBL,,,,,,,,ORD,454
56,3,73297,64501,दोडामार्ग,Dodamarg,भेडशी,Bhedshi,,11.5,15:30,01:52,ST,,,,,,,,ORD,455
56,4,73298,64502,भेडशी,Bhedshi,दोडामार्ग,Dodamarg,,11.5,16:25,01:55,,,,,,,,,,456
56,5,10793,64468,दोडामार्ग,Dodamarg,फणसवाडी,Phanaswadi,,29,00:17,18:15,,,,,,,,,,457
57,1,60668,64469,फणसवाडी,Phanaswadi,दोडामार्ग,Dodamarg,TALEWADI KHOKRAL BHEDSHI,29,06:30,07:45,ST,,,,,,,,ORD,459
57,2,63048,64461,दोडामार्ग,Dodamarg,शिरंगे,Shirange,BHEDSHI,15,08:30,08:30,ST,,,,,,,,ORD,460
57,3,63049,64462,शिरंगे,Shirange,दोडामार्ग,Dodamarg,BHEDSHI,15,08:40,09:10,ST,,,,,,,,ORD,461
57,4,10785,64493,दोडामार्ग,Dodamarg,बिजघर,Bijghar Colony,BHEDSHI TILARI MULAS,31.1,09:30,10:30,ST,,,,,,,,ORD,462
57,5,63798,64494,बिजघर,Bijghar Colony,सावंतवाडी,Sawantwadi,sonaval MULAS SONAVAL TILARI BHEDSHI DODAMARG KALNE BANDA,68,10:40,13:10,ST,,,,,,,,ORD,463
58,1,18649,64384,,Dhondwadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,30.2,06:30,07:15,ST,,,,,,,,ORD,467
58,2,11145,64603,सावंतवाडी,Sawantwadi,तळवडे,Talawade Gate,RAILSTATION,13.8,06:30,08:05,ST,,,,,,,,ORD,468
58,3,18537,64604,तळवडे,Talawade Gate,सावंतवाडी,Sawantwadi,RAILSTATION,13.8,07:45,08:45,ST,,,,,,,,ORD,469
58,4,63684,64483,सावंतवाडी,Sawantwadi,मोरे,More Dhangarwadi,MANGAON KANDULI,24,10:00,09:50,OBL,,,,,,,,ORD,470
58,5,63686,64484,मोरे,More Dhangarwadi,सावंतवाडी,Sawantwadi,KANDULI MANGAON,24,10:50,11:00,OBL,,,,,,,,ORD,471
,1,11153,64120,सावंतवाडी,Sawantwadi,कुंब्रल,Kumbral Mandir,BANDA,34.2,11:45,13:00,ST,,,,,,,,ORD,473
,2,18442,64121,कुंब्रल,Kumbral Mandir,सावंतवाडी,Sawantwadi,BANDA,34.2,13:10,14:25,ST,,,,,,,,ORD,474
,3,11161,64515,सावंतवाडी,Sawantwadi,ओटवणे,Otavane Kasar Dukan,,12.4,15:15,15:40,ST,,,,,,,,ORD,475
,4,18611,64516,ओटवणे,Otavane Kasar Dukan,सावंतवाडी,Sawantwadi,,12.4,15:50,16:15,ST,,,,,,,,ORD,476
,5,11164,64601,सावंतवाडी,Sawantwadi,पारपोली,Parpoli,DANOLI DEWSU,21.7,16:15,17:05,ST,,,,,,,,ORD,477
,6,18615,64602,पारपोली,Parpoli,सावंतवाडी,Sawantwadi,DEWSU DANOLI,21.7,17:05,00:18,ST,,,,,,,,ORD,478
,7,11178,64383,सावंतवाडी,Sawantwadi,,Dhondwadi,SANGELI  KALAMBIST,30.2,18:30,00:19,ST,,,,,,,,ORD,479
59,1,17747,64276,उसप,Usap,दोडामार्ग,Dodamarg,bhedshi BHEDSHI DODAMARG BANDA,16.7,06:10,06:50,ST,,,,,,,,ORD,481
59,2,10792,64277,दोडामार्ग,Dodamarg,प्ार्ये,Parye,VAZARE MATNE AAI,16.1,07:00,07:40,ST,,,,,,,,ORD,482
59,3,17335,64278,प्ार्ये,Parye,दोडामार्ग,Dodamarg,AAI MATANE VAZARE,16.1,07:50,08:30,ST,,,,,,,,ORD,483
59,4,10787,64507,दोडामार्ग,Dodamarg,मांगेली,Mangeli Dewoolwadi,BHEDSHI KHOKRAL,26,08:40,09:50,ST,,,,,,,,ORD,484
59,5,17628,64508,मांगेली,Mangeli Dewoolwadi,दोडामार्ग,Dodamarg,KHOKRAL BHEDSHI,26,09:50,11:25,ST,,,,,,,,ORD,485
59,6,17715,64765,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,KALANE BANDA,36.9,12:00,13:20,OPN,,,,,,,,ORD,486
60,1,72056,64315,पणतुर्ली,Panturli Titha,बांदा,Banda,nabar highschool KUMBRAL KOLZAR TALKAT DEGWE BANDA NABAR HIGHSCHOOL,24,06:45,00:08,ST,,,,,,,,ORD,490
60,2,104886,64541,बांदा,Banda,कोलझर,Kolzar Mungi Dukan,KALANE BHIKEKONAL,22.2,08:20,09:10,ST,,,,,,CHANGE,,ORD,491
60,3,104887,64542,कोलझर,Kolzar Mungi Dukan,बांदा,Banda,bhikekonal BHIKEKONAL KALANE,22.2,09:10,10:10,ST,,,,,,CHANGE,,ORD,492
60,4,60731,64342,बांदा,Banda,शिरोडा,Shiroda,MADURA TITHA AROS KONDURA TITHA MALEWAD,27,01:03,01:13,ST,,,,,,,,ORD,493
60,5,60730,64343,शिरोडा,Shiroda,बांदा,Banda,MALEWAD KONDURA TITHA AROS MADURA TITHA,27,12:50,01:24,ST,,,,,,,,ORD,494
60,6,17603,64403,बांदा,Banda,सावंतवाडी,Sawantwadi,,12.6,12:50,13:20,OPN,,,,,,,,ORD,495
61,1,117645,64518,सावंतवाडी,Sawantwadi,,Madura Titha,PAGAWADI BANDA SHERLA,25,06:00,06:40,ST,,,,,,,,ORD,499
61,2,75079,64519,,Madura Titha,बांदा,Banda,SHERLA,11.6,07:20,07:10,ST,,,,,,,,ORD,500
61,3,75165,64563,बांदा,Banda,,Dongarpal,,12,07:15,07:40,OBL,,,,,,,,ORD,501
61,4,75166,64564,,Dongarpal,बांदा,Banda,,12,07:20,08:10,OBL,,,,,,,,ORD,502
61,5,97998,64565,बांदा,Banda,,Madura School,NIGUDE,12,09:30,09:55,ST,,,,,,,,ORD,503
61,6,97999,64566,,Madura School,बांदा,Banda,NIGUDE,12,10:00,10:25,ST,,,,,,,,ORD,504
61,7,10784,64567,बांदा,Banda,दोडामार्ग,Dodamarg,KUMBRAL DEGWE TALKAT KOLZAR KUMBRAL BHARPAL,36,10:50,12:00,NOBL,,,,,,,,ORD,505
61,8,102576,64568,दोडामार्ग,Dodamarg,बांदा,Banda,KALNE,24,12:15,13:00,NOBL,,,,,,,,ORD,506
61,9,77249,64587,बांदा,Banda,,Kalane,nabar highschool NABAR HIGHSCHOOL DEGWE,15.5,13:45,14:15,ST,,,,,,,,ORD,507
61,10,105609,64588,,Kalane,सावंतवाडी,Sawantwadi,DEGWE BANDA,25.1,14:25,15:35,ST,,,,,,,,ORD,508
,5,11366,64389,सावंतवाडी,Sawantwadi,सिंधुदूर्गनगरी,Sindhudurgnagari,KUDAL,36.2,16:20,17:20,NOBL,,,,,,,,ORD,510
,6,18609,64390,सिंधुदूर्गनगरी,Sindhudurgnagari,सावंतवाडी,Sawantwadi,NONSTOP,36.2,18:00,19:00,NOBL,,,,,,,,ORD,511
62,1,11121,64412,सावंतवाडी,Sawantwadi,मुलांडावाडी,Mulandawadi,MADKHOL BAVLAT,18,05:30,06:00,ST,,,,,,,,ORD,513
62,2,17610,64413,मुलांडावाडी,Mulandawadi,सावंतवाडी,Sawantwadi,BAVLAT MADKHOL,18,07:00,06:35,ST,,,,,,,,ORD,514
62,3,11145,64531,सावंतवाडी,Sawantwadi,खेरवाडी,Kherwadi,RAILSTATION,13.8,07:00,07:10,ST,,,,,,,,ORD,515
62,4,18537,64532,खेरवाडी,Kherwadi,सावंतवाडी,Sawantwadi,RAILSTATION,13.8,07:35,07:45,ST,,,,,,,,ORD,516
62,5,11137,64616,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,,8.2,09:00,09:00,NOBL,,,,,,,,ORD,517
62,6,18448,64617,कालिकामंदीर,Kalika Mandir,सावंतवाडी,Sawantwadi,,8.2,09:30,09:25,NOBL,,,,,,,,ORD,518
,4,61563,64044,सावंतवाडी,Sawantwadi,सातोसे,Satose Dewoolwada,madura titha BANDA  MADURATITHA,24,09:45,10:45,ST,,,,,,MAIL,,ORD,520
,5,61561,64045,सातोसे,Satose Dewoolwada,सावंतवाडी,Sawantwadi,madura titha MADURATITHA  BANDA,24,11:00,11:55,ST,,,,,,MAIL,,ORD,521
,1,11142,64503,सावंतवाडी,Sawantwadi,केर,Ker,BANDA DODAMARG BHEDSHI TILARI MORLE,62.5,12:30,15:30,ST,,,,,,,,ORD,523
,2,63544,64504,केर,Ker,सावंतवाडी,Sawantwadi,tirali MORLE TILARI BHEDSHI DODAMARG BANDA,62.5,15:40,16:10,ST,,,,,,,,ORD,524
,3,74168,64275,सावंतवाडी,Sawantwadi,उसप,Usap,BANDA DODAMARG BHEDSHI,53.6,18:00,20:00,ST,,,,,,,,ORD,525
63,1,117643,64474,सावंतवाडी,Sawantwadi,,Kalane,pagawadi PAGAWADI BANDA DEGWE,25.1,06:15,07:00,ST,,,,,,,,ORD,527
63,2,105608,64475,,Kalane,बांदा,Banda,nabar highschool DEGWE NABAR HIGHSCHOOL,15.5,07:30,07:40,ST,,,,,,,,ORD,528
63,3,10659,64584,बांदा,Banda,असनिये,Asniye,WAFOLI SOCI  BHALAWAL TAMBOLI,18.8,08:00,08:40,ST,,,,,,,,ORD,529
63,4,17585,64585,असनिये,Asniye,बांदा,Banda,TAMBOLI BHALAWAL WAFOLI SOCI  BANDA,18.8,09:00,10:00,ST,,,,,,,,ORD,530
63,5,10663,64533,बांदा,Banda,कास,Kas Mauli Mandir,SHERLA,12.7,00:10,01:03,ST,,,,,,,,ORD,531
63,6,17595,64534,कास,Kas Mauli Mandir,बांदा,Banda,SHERLA,12.7,10:50,01:11,ST,,,,,,,,ORD,532
63,7,94441,64543,बांदा,Banda,तिराळी,Tirali,KALANE WANOSHI BHEDSH kudasa,36,12:00,13:35,ST,,,,,,,,ORD,533
63,8,117644,64544,तिराळी,Tirali,बांदा,Banda,BHEDSHI WANOSHI KALANE,24,13:35,15:00,ST,,,,,,,,ORD,534
63,9,10663,64571,बांदा,Banda,कास,Kas Mauli Mandir,SHERLA,12.7,16:00,16:30,NOBL,,,,,,,,ORD,535
63,10,17595,64572,कास,Kas Mauli Mandir,बांदा,Banda,SHERLA,12.7,16:40,17:10,NOBL,,,,,,,,ORD,536
63,11,75165,64573,बांदा,Banda,,Dongarpal,,12,17:20,17:50,OBL,,,,,,,,ORD,537
63,12,75166,64574,,Dongarpal,बांदा,Banda,,12,18:00,18:30,OBL,,,,,,,,ORD,538
63,13,17603,64767,बांदा,Banda,सावंतवाडी,Sawantwadi,,12.6,18:35,19:00,OPN,,,,,,,,ORD,539
64,1,18754,64117,फणसखोल,Phanaskhol Ganesh Mandir,सावंतवाडी,Sawantwadi,SHIRODA MALEWAD RAILSTATION,35.2,06:15,07:35,ST,,,,,,,,ORD,541
64,2,61938,64118,सावंतवाडी,Sawantwadi,,Nanos Konkan Pharma,RAILSTATION MALEWAD SHIRODA,32.3,08:00,09:10,NOBL,,,,,,,,ORD,542
64,3,61939,64119,,Nanos Konkan Pharma,सावंतवाडी,Sawantwadi,SHIRODA MALEWAD RAILSTATION,32.3,09:25,10:30,NOBL,,,,,,,,ORD,543
64,4,11172,64088,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,RAILSTATION MALEWAD,27.2,11:30,11:45,NOBL,,,,,,,,ORD,544
64,5,18737,64089,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,12:00,13:20,NOBL,,,,,,,,ORD,545
,3,11186,64200,सावंतवाडी,Sawantwadi,उसप,Usap,usap titha BANDA DODAMARG USAPTITHA,54.1,15:00,17:00,ST,,,,,,,,ORD,547
,4,17748,64201,उसप,Usap,दोडामार्ग,Dodamarg,usap titha USAPTITHA,14.5,17:10,17:40,ST,,,,,,,,ORD,548
,5,10794,64202,दोडामार्ग,Dodamarg,पिकुळे,Pikule Mandir,usap titha USAPTITHA,12.3,18:15,18:30,ST,,,,,,,,ORD,549
65,1,17703,64203,पिकुळे,Pikule Mandir,दोडामार्ग,Dodamarg,usap titha USAPTITHA,12.3,06:50,07:15,ST,,,,,,,,ORD,551
65,2,10795,64204,दोडामार्ग,Dodamarg,उसप,Usap,usap titha USAPTITHA,14.5,07:20,07:50,NOBL,,,,,,,,ORD,552
65,3,18781,64205,उसप,Usap,सावंतवाडी,Sawantwadi,USAPTITHA,54.1,08:00,10:00,OPN,,,,,,,,ORD,553
65,4,11172,64172,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,MALEWAD,27.2,10:30,11:30,ST,,,,,,,,ORD,554
65,5,18738,64173,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,phanaskhol PHANASKHOL,31.8,11:40,13:00,ST,,,,,,,,ORD,555
66,1,88347,64105,कुंभवडे,Kumbhawade,सावंतवाडी,Sawantwadi,CHOUKUL  AMBOLI  DANOLI,54.1,07:00,09:05,ST,,,,,,,,ORD,559
66,2,11121,64106,सावंतवाडी,Sawantwadi,मुलांडावाडी,Mulandawadi,BAVLAT,18,09:20,09:45,ST,,,,,,,,ORD,560
66,3,17610,64107,मुलांडावाडी,Mulandawadi,सावंतवाडी,Sawantwadi,BAVLAT,18,09:55,10:25,ST,,,,,,,,ORD,561
,1,88344,64100,सावंतवाडी,Sawantwadi,कुंभवडे,Kumbhawade,DANOLI  AMBOLI  NENEWADI  CHOUKUL,54.1,13:30,15:40,ST,,,,,,,,ORD,563
,2,88346,64101,कुंभवडे,Kumbhawade,आंबोली,Amboli,,24.5,15:40,16:50,ST,,,,,,,,ORD,564
,3,10654,64102,आंबोली,Amboli,गेळे,Gele Gawthan,,9,17:00,17:35,ST,,,,,,,,ORD,565
,4,17369,64103,गेळे,Gele Gawthan,आंबोली,Amboli,,9,17:35,18:15,ST,,,,,,,,ORD,566
,5,88345,64104,आंबोली,Amboli,भेकुर्ली,Bhekurli,CHOUKUL,24.5,18:15,19:50,ST,,,,,,,,ORD,567
67,1,18773,64049,शिवापूर,Shivapur High School,सावंतवाडी,Sawantwadi,WASOLI DUKANWAD WADOS MANGAON,38.6,06:30,08:15,ST,,,,,,,,ORD,569
67,2,11178,64050,सावंतवाडी,Sawantwadi,शिरशिंगे,Shirshinge Gothavewadi,SANGELI   KALAMBIST,30.2,08:30,10:00,MAIL,,,,,,,,ORD,570
67,3,18649,64051,शिरशिंगे,Shirshinge Gothavewadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,30.2,10:10,11:40,MAIL,,,,,,,,ORD,571
67,4,11120,64409,सावंतवाडी,Sawantwadi,बांदा,Banda,pagawadi PAGAWADI,14.6,12:00,12:45,OPN,,,,,,,,ORD,572
67,5,60321,64410,बांदा,Banda,सावंतवाडी,Sawantwadi,PAGAWADI,14.6,12:50,13:30,,,,,,,,,,573
,3,11164,64220,सावंतवाडी,Sawantwadi,पारपोली,Parpoli,DANOLI  DEWASU,21.7,14:30,15:20,ST,,,,,,,,ORD,575
,4,18615,64221,पारपोली,Parpoli,सावंतवाडी,Sawantwadi,DEWASU DANOLI,21.7,15:30,16:20,ST,,,,,,,,ORD,576
,5,11180,64048,सावंतवाडी,Sawantwadi,शिवापूर,Shivapur High School,MANGAON WADOS DUKANWAD WASOLI,38.6,17:15,18:15,ST,,,,,,,,ORD,577
68,1,18536,64075,रेडी कनयाळ,Redi Kanyal,सावंतवाडी,Sawantwadi,goltuvwadi BHATPAWNI  GOLTUVWADI ARONDA MALEWAD,42.4,06:10,07:50,ST,,,,,,,,ORD,579
68,2,11185,64076,सावंतवाडी,Sawantwadi,उपवडे,Upawade Kerdalwadi,MANGAON  WADOS  DUKANWAD,33,08:00,09:15,NOBL,,,,,,,,ORD,580
68,3,18779,64077,उपवडे,Upawade Kerdalwadi,सावंतवाडी,Sawantwadi,DUKANWAD WADOS MANGAON,33,09:25,10:40,NOBL,,,,,,,,ORD,581
68,4,11201,64326,सावंतवाडी,Sawantwadi,फौजदारवाडी,Foujdarwadi,SANGELI  KALAMBIST,25.1,11:30,12:35,ST,,,,,,,,ORD,582
68,5,18786,64327,फौजदारवाडी,Foujdarwadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,25.1,12:40,13:45,ST,,,,,,,,ORD,583
,3,11113,64375,सावंतवाडी,Sawantwadi,किरणपाणी,Kiranpani,RAILSTATION MALEWAD,27.2,15:30,16:45,NOBL,,,,,,,,ORD,585
,4,17378,64376,किरणपाणी,Kiranpani,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,17:00,18:10,NOBL,,,,,,,,ORD,586
,5,11110,64074,सावंतवाडी,Sawantwadi,रेडी कनयाळ,Redi Kanyal,shiroda RAILSTATION  MALEWAD SHIRODA,34.9,18:00,19:40,ST,,,,,,,,ORD,587
69,7,18771,64227,सातार्डा,Satarda,सावंतवाडी,Sawantwadi,nigude SATOSE MADURATITHA NIGUDE  BANDA,41,06:15,07:40,ST,,,,,,,,ORD,589
69,8,61970,64447,सावंतवाडी,Sawantwadi,पागावाडी,Pagawadi,MAJGAON CHARATA,12.3,08:45,08:45,NOBL,,,,,,,,ORD,590
69,9,61971,64448,पागावाडी,Pagawadi,सावंतवाडी,Sawantwadi,CHARATA MAJGAON,12.3,09:25,09:20,NOBL,,,,,,,,ORD,591
,1,11182,64295,सावंतवाडी,Sawantwadi,सोनावल,Sonaval,BANDA  DODAMARG  BHEDSHI  TILARI,58.9,09:45,11:40,ST,,,,,,,,ORD,593
,2,56687,64296,सोनावल,Sonaval,दोडामार्ग,Dodamarg,TILARI  BHEDSHI,22,12:00,12:40,ST,,,,,,,,ORD,594
,3,10792,64297,दोडामार्ग,Dodamarg,प्ार्ये,Parye,VAZARE  MATNE  AAI,16.1,12:55,13:25,ST,,,,,,,,ORD,595
,4,17335,64298,प्ार्ये,Parye,दोडामार्ग,Dodamarg,AAI  MATNE  VAZARE,16.1,13:35,14:15,ST,,,,,,,,ORD,596
,5,17715,64769,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,KALNE  BANDA,36.9,14:15,15:45,ST,,,,,,,,ORD,597
,6,11169,64226,सावंतवाडी,Sawantwadi,सातार्डा,Satarda,giroba mandir NIGUDE  MADURA  PADLOS  AROS GAOTHAN,41.6,16:30,18:30,ST,,,,,,,,ORD,598
70,1,18649,64155,गोठवेवाडी,Gothawewadi,सावंतवाडी,Sawantwadi,SHIRSHINGE KALAMBIST SANGELI,30.2,06:00,07:30,ST,,,,,,,,ORD,600
70,2,11160,64156,सावंतवाडी,Sawantwadi,निवजे,Nivaje Mandir,MANGAON,22.2,07:40,08:30,MAIL,,,,,,,,ORD,601
70,3,18607,64157,निवजे,Nivaje Mandir,सावंतवाडी,Sawantwadi,MANGAON,22.2,08:40,09:30,MAIL,,,,,,,,ORD,602
70,4,11172,64422,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,SARAL,27.2,10:00,11:00,ST,,,,,,,,ORD,603
70,5,18737,64423,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,SARAL,27.2,01:11,12:10,ST,,,,,,,,ORD,604
,1,11119,64402,सावंतवाडी,Sawantwadi,बांदा,Banda,,12.6,06:00,13:15,OPN,,,,,,,,ORD,606
,2,72059,64569,बांदा,Banda,पणतुर्ली कुडासा,Panturli Kudasa,nabar highschool NABAR HIGHSCHOOL DEGWE TALKAT KOLZAR KUMBRAL,24,13:45,14:15,ST,,,,,,,,ORD,607
,3,18446,64570,पणतुर्ली,Panturli Titha,बांदा,Banda,KUMBRAL KOLZAR TALKAT DEGWE,24,14:40,15:15,ST,,,,,,,,ORD,608
,4,104886,64545,बांदा,Banda,कोलझर,Kolzar Mungi Dukan,KALANE BHIKEKONAL,22.2,16:40,17:10,ST,,,,,,,,ORD,609
,5,104887,64546,कोलझर,Kolzar Mungi Dukan,बांदा,Banda,bhikekonal BHIKEKONAL KALANE,22.2,17:20,17:55,ST,,,,,,,,ORD,610
,6,10666,64314,बांदा,Banda,पणतुर्ली कुडासा,Panturli Kudasa,DEGWE TALKAT KOLZAR KUMBRAL,24,18:10,19:00,ST,,,,,,,,ORD,611
71,1,17376,64429,आरोंदा बाजार,Aronda Bazar,सावंतवाडी,Sawantwadi,KONDURATITHA AROS RAILSTATION MALGAON,28.8,06:30,07:40,ST,,,,,,,,ORD,613
71,2,11190,64058,सावंतवाडी,Sawantwadi,वेळवेवाडी,Velvewadi,malewad MALGAON RAILSSTATION MALEWAD SATARDA,39.3,07:40,09:20,ST,,,,,,,,ORD,614
71,3,18449,64059,वेळवेवाडी,Velvewadi,सावंतवाडी,Sawantwadi,malewad SATARDA MALEWAD RAILSTATION MALGAON,39.3,09:20,10:50,ST,,,,,,,,ORD,615
71,4,75415,64491,सावंतवाडी,Sawantwadi,धवडकी,Dhawadaki Datta Mandir,bamanadevi BAMNADEVI MADKHOL,15.6,09:50,01:13,ST,,,,,,,,ORD,616
71,5,75416,64492,धवडकी,Dhawadaki Datta Mandir,सावंतवाडी,Sawantwadi,,11.5,10:30,01:22,ST,,,,,,,,ORD,617
,1,11172,64450,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,,27.2,12:45,13:45,,,,,,,,,,619
,2,18737,64451,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,,27.2,00:14,00:15,,,,,,,,,,620
,3,11154,64068,सावंतवाडी,Sawantwadi,कुणकेश्वर,Kunkeshwar,KUDAL NERURPAR MALVAN ACHARA POYARE HINDALE MITHBAV,104,15:45,19:25,NOBL,,,,,,,,ORD,621
72,1,18542,64069,कुणकेश्वर,Kunkeshwar,सावंतवाडी,Sawantwadi,MITHBAV HINDALE POYARE ACHARA MALVAN NERURPAR KUDAL,104,07:00,10:30,NOBL,,,,,,,,ORD,623
72,2,117646,64487,सावंतवाडी,Sawantwadi,दुकानवाड,Dukanwad,,27,11:00,00:12,,,,,,,,,,624
72,3,117647,64488,दुकानवाड,Dukanwad,सावंतवाडी,Sawantwadi,,27,14:10,01:31,,,,,,,,,,625
,3,11183,64206,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,MALGAO RAILSTATION,14.9,14:00,14:40,ST,,,,,,,,ORD,627
,4,18640,64207,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,RAILSTATION MALGAON,14.9,14:40,15:25,ST,,,,,,,,ORD,628
,5,11119,64284,सावंतवाडी,Sawantwadi,बांदा,Banda,,12.6,15:20,16:00,OPN,,,,,,,,ORD,629
,6,62557,64183,बांदा,Banda,कोनशी,Konshi,kuderanwadi WAFOLI KUDERAN VILAWADE BHALAWAL,14.5,16:00,16:35,ST,,,,,,,,ORD,630
,7,62556,64184,कोनशी,Konshi,बांदा,Banda,kuderanwadi BHALAWAL VILAWADE WAFOLI KUDERAN,14.5,16:40,17:15,ST,,,,,,,,ORD,631
,8,64232,64185,बांदा,Banda,डिंगणे,Dingane Mandir,PATRADEVI GALEL,7.9,17:45,17:50,ST,,,,,,,,ORD,632
,9,64233,64186,डिंगणे,Dingane Mandir,बांदा,Banda,GALEL PATRADEVI,7.9,18:10,18:15,ST,,,,,,,,ORD,633
,10,105546,64470,बांदा,Banda,दाभिळ,Dabhil,VILAWADE  SARMALE,15.9,18:40,19:10,ST,,,,,,,,ORD,634
73,1,17592,64240,फुकेरी,Fukeri,बांदा,Banda,ZOLAMBE  TALKAT  DEGAWE,22.6,06:00,06:45,ST,,,,,,,,ORD,636
73,2,10663,64241,बांदा,Banda,कास,Kas Mauli Mandir,SHERLA,12.7,06:50,07:20,NOBL,,,,,,,,ORD,637
73,3,17595,64242,कास,Kas Mauli Mandir,बांदा,Banda,SHERLA,12.7,07:30,08:00,NOBL,,,,,,,,ORD,638
73,4,64232,64243,बांदा,Banda,डिंगणे,Dingane Mandir,PATRADEVI GALEL,7.9,08:10,08:30,NOBL,,,,,,,,ORD,639
73,5,64233,64244,डिंगणे,Dingane Mandir,बांदा,Banda,GALEL PATRADEVI,7.9,08:40,09:00,NOBL,,,,,,,,ORD,640
73,6,64747,64245,बांदा,Banda,सरमळे दाभिळ,Sarmale,KUDERANWADI KUDERANWADI VILAWADE  SARMALE,14.1,09:10,09:40,OBL,,,,,,,,ORD,641
73,7,105547,64246,सरमळे दाभिळ,Sarmale,बांदा,Banda,kuderanwadi SARMALE  VILAWADE KUDERANWADI,14.1,09:50,10:00,OBL,,,,,,,,ORD,642
73,8,10659,64247,बांदा,Banda,असनिये,Asniye,WAFOLI SOCI VILAWADE TAMBOLI,18.8,11:00,11:10,ST,,,,,,,,ORD,643
73,9,61579,64248,असनिये,Asniye,सावंतवाडी,Sawantwadi,TAMBOLI VILAWADE WAFOLI SOCI  BANDA,31.4,11:15,12:30,ST,,,,,,,,ORD,644
,7,11112,64124,सावंतवाडी,Sawantwadi,आंबेगांव,Ambegaon,,11.5,13:05,13:30,NOBL,,,,,,,,ORD,646
,8,17336,64125,आंबेगांव,Ambegaon,सावंतवाडी,Sawantwadi,,11.5,13:40,14:00,NOBL,,,,,,,,ORD,647
,9,87165,64373,सावंतवाडी,Sawantwadi,म्हारकाटेवाडी,Mharkatewadi,,13.5,14:01,14:40,NOBL,,,,,,,,ORD,648
,10,87166,64374,म्हारकाटेवाडी,Mharkatewadi,सावंतवाडी,Sawantwadi,,13.5,14:30,15:20,NOBL,,,,,,,,ORD,649
,11,11112,64330,सावंतवाडी,Sawantwadi,आंबेगांव,Ambegaon,,11.5,15:30,16:00,NOBL,,,,,,,,ORD,650
,12,17336,64331,आंबेगांव,Ambegaon,सावंतवाडी,Sawantwadi,,11.5,16:10,16:30,NOBL,,,,,,,,ORD,651
,13,87165,64480,सावंतवाडी,Sawantwadi,म्हारकाटेवाडी,Mharkatewadi,,13.5,16:30,17:10,NOBL,,,,,,,,ORD,652
,14,87166,64481,म्हारकाटेवाडी,Mharkatewadi,सावंतवाडी,Sawantwadi,,13.5,17:10,18:00,NOBL,,,,,,,,ORD,653
,15,11112,64377,सावंतवाडी,Sawantwadi,आंबेगांव,Ambegaon,,11.5,18:10,18:50,NOBL,,,,,,,,ORD,654
,16,17336,64378,आंबेगांव,Ambegaon,सावंतवाडी,Sawantwadi,,11.5,18:50,19:20,NOBL,,,,,,,,ORD,655
74,1,18295,64223,हेवाळे,Hewale,सावंतवाडी,Sawantwadi,MULAS  TILARI  BHEDSHI  DODAMARG  BANDA,63.2,07:20,09:50,ST,,,,,,7.2,,ORD,657
,1,11137,64090,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,BHAIRAVWADI,8.2,10:10,10:30,ST,,,,,,,,ORD,659
