Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
14,3,40756,3413,सावंतवाडी,Sawantwadi,पुणेस्टेशन,Pune Rly. Stn.,Amboli AMBOLI AJARA UTTUR NIPANI KOLHAPUR KARAD SATAR,384,08:30,18:30,NOBL,,,,,,,,LD,55
15,1,463,3414,पुणेस्टेशन,Pune Rly. Stn.,सावंतवाडी,Sawantwadi,Amboli SATARA KARAD KOLHAPUR NIPANI UTTUR AJARA AMBOLI,384,03:45,13:40,NOBL,,,,,,,,LD,57
,1,80540,3411,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,Amboli AMBOLI AJARA UTTUR NIPANI,149.6,17:00,21:35,NOBL,,,,,,,,LD,59
,1,,3411,कोल्हापुर,Kolhapur,निगडी,Nigadi,KARAD SATARA,257,21:50,,NOBL,,,,,,,,LD,60
16,1,10919,4504,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,Gaganbawada GAGANBAWADA TALERE KANKAVALI KUDAL,168,05:00,09:15,NOBL,,,,,,,,MLD,62
16,2,11183,64122,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,,14.9,09:15,10:05,ST,,,,,,,,ORD,63
16,3,18640,64123,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,,14.9,09:55,10:30,ST,,,,,,,,ORD,64
,1,408,4503,सावंतवाडी,Sawantwadi,इचलकरंजी,Ichalkaranji,Amboli AMBOLI AJARA UTTUR NIPANI KOLHAPUR,173.6,12:30,18:15,NOBL,,,,,,,,MLD,67
,2,59591,64751,इचलकरंजी,Ichalkaranji,कोल्हापुर,Kolhapur,,27,18:45,19:45,NOBL,,,,,,,,ORD,68
17,1,10918,64002,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,danoli NIPANI UTTUR AJARA AMBOLI,149.6,06:15,10:20,NOBL,,,,,,,,ORD,70
,6,11137,64110,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,BHAIRAVWADI,8.2,12:00,12:15,ST,,,,,,,,ORD,72
,7,18448,64111,कालिकामंदीर,Kalika Mandir,सावंतवाडी,Sawantwadi,BHAIRAVWADI,8.2,12:30,12:35,ST,,,,,,,,ORD,73
,6,75211,64146,सावंतवाडी,Sawantwadi,नेमळे,Nemale,akeri AKERI,15,12:45,13:10,ST,,,,,,,,ORD,75
,7,75155,64147,नेमळे,Nemale,सावंतवाडी,Sawantwadi,akeri AKERI,15,13:15,14:00,ST,,,,,,,,ORD,76
,1,405,64001,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,ajara fata AMBOLI AJARA UTTUR NIPANI,149.6,14:45,18:50,NOBL,,,,,,,,ORD,78
18,1,11183,64006,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,,14.9,06:15,06:55,ST,,,,,,,,ORD,80
18,2,18640,64007,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,,14.9,07:10,07:45,ST,,,,,,,,ORD,81
18,3,39180,64008,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,danoli AMBOLI AJARA UTTUR NIPANI,149.6,08:00,12:30,NOBL,,,,,,,,ORD,82
,1,10918,64009,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,danoli NIPANI UTTUR AJARA AMBOLI,149.6,13:30,18:00,NOBL,,,,,,,,ORD,84
,2,11148,64010,सावंतवाडी,Sawantwadi,कुडाळ,Kudal St Depot,,22.2,19:00,19:40,NOBL,,,,,,,,ORD,85
,3,18541,64011,कुडाळ,Kudal St Depot,सावंतवाडी,Sawantwadi,,22.2,19:45,20:25,NOBL,,,,,,,,ORD,86
19,1,11193,64012,सावंतवाडी,Sawantwadi,वेंगुर्ला,Vengurle,pal TALAWADE MATOND,36,05:45,07:00,ST,,,,,,,,ORD,88
19,2,19986,64013,वेंगुर्ला,Vengurle,सावंतवाडी,Sawantwadi,Tulas TULAS TALAWADE,30.2,07:30,08:35,ST,,,,,,,,ORD,89
,3,39180,64014,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,danoli AMBOLI AJARA UTTUR NIPANI,149.6,10:30,15:15,NOBL,,,,,,,,ORD,91
,1,10918,64015,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,danoli NIPANI UTTUR AJARA AMBOLI,149.6,15:30,20:00,NOBL,,,,,,,,ORD,92
20,1,11078,4514,,Narsobavadi,सावंतवाडी,Sawantwadi,Jaisingpur SHIROL JAISINGPUR HATKANAGALE KOLHAPUR NIPANI UTTUR AJARA AMBOLI,206,06:45,12:55,NOBL,,,,,,,,MLD,94
,1,407,4513,सावंतवाडी,Sawantwadi,,Narsobavadi,Ichalkarnji AMBOLI AJARA UTTUR NIPANI KOLHAPUR ICHALKARANJI ABDULLAT,200,13:45,19:45,NOBL,,,,,,,,MLD,96
21,1,11206,64066,सावंतवाडी,Sawantwadi,,Wasoli Veerwadi,MANGAON WADOS DUKANWAD,31.8,09:10,10:20,NOBL,,,,,,,,ORD,98
21,2,18782,64067,,Wasoli Veerwadi,सावंतवाडी,Sawantwadi,DUKANWAD WADOS MANGAON,31.8,10:30,11:40,NOBL,,,,,,,,ORD,99
,4,11145,64538,सावंतवाडी,Sawantwadi,खेरवाडी,Kherwadi,RAILSTATION,13.8,11:45,12:15,ST,,,,,,,,ORD,101
,5,18537,64539,खेरवाडी,Kherwadi,सावंतवाडी,Sawantwadi,RAILSTATION,13.8,12:20,12:50,ST,,,,,,,,ORD,102
,1,11138,64016,सावंतवाडी,Sawantwadi,कणकवली,Kankavli,kasal KUDAL KASAL,55.7,13:45,12:20,NOBL,,,,,,CHANGE,,ORD,104
,2,10810,64021,कणकवली,Kankavli,आजरा,Ajara,KASAL KUDAL SAWANTWADI AMBOLI,117.8,16:30,20:15,NOBL,,,,,,,,ORD,105
22,1,18296,64022,आजरा,Ajara,कणकवली,Kankavli,AMBOLI SAWANTWADI KUDAL KASAL,117.8,07:15,11:00,NOBL,,,,,,,,ORD,107
22,2,18298,64017,कणकवली,Kankavli,सावंतवाडी,Sawantwadi,Sindudurg Ngr KASAL SINDHUDURG NAGARI KUDAL,58.7,11:15,13:15,NOBL,,,,,,,,ORD,108
23,1,10681,64024,सावंतवाडी,Sawantwadi,बेळगांव,Belgaum,dodamarg BANDA DODAMARAG BHEDSHI TILARINAGAR PATANEPHATA,127.5,06:00,10:30,NOBL,,,,,,,,ORD,113
23,2,59623,64025,बेळगांव,Belgaum,सावंतवाडी,Sawantwadi,dodamarg PATANEPHATA TILARINAGAR BHEDSHI DODAMARG BANDA,127.5,12:30,17:00,NOBL,,,,,,,,ORD,114
23,3,11183,64026,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,,14.9,17:30,17:55,ST,,,,,,,,ORD,115
23,4,18640,64027,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,,14.9,18:10,18:40,ST,,,,,,,,ORD,116
24,1,61970,64526,सावंतवाडी,Sawantwadi,पागावाडी,Pagawadi,,12,06:00,06:45,OPN,,,,,,,,ORD,118
24,2,61971,64527,पागावाडी,Pagawadi,सावंतवाडी,Sawantwadi,,12,06:35,07:20,ST,,,,,,,,ORD,119
24,3,10681,64028,सावंतवाडी,Sawantwadi,बेळगांव,Belgaum,dodamarg BANDA DODAMARAG BHEDSHI TILARINAGAR PATANEPHATA,127.5,08:00,12:30,NOBL,,,,,,,,ORD,120
24,4,59623,64029,बेळगांव,Belgaum,सावंतवाडी,Sawantwadi,dodamarg PATANEPHATA TILARINAGAR BHEDSHI DODAMARG BANDA,127.5,14:30,18:30,NOBL,,,,,,,,ORD,121
25,1,45352,64018,सावंतवाडी,Sawantwadi,पणजी,Panjim,,61.7,07:30,09:30,NOBL,,,,,,,,ORD,123
25,2,11082,64019,पणजी,Panjim,सावंतवाडी,Sawantwadi,,61.7,10:00,12:00,NOBL,,,,,,,,ORD,124
25,1,10683,64030,सावंतवाडी,Sawantwadi,बेळगांव,Belgaum,Amboli AMBOLI KANUR CHANDGADPHATA,103,13:00,16:30,NOBL,,,,,,,,ORD,125
25,2,59624,64031,बेळगांव,Belgaum,सावंतवाडी,Sawantwadi,Amboli PATANEPHATA TILARINAGAR BHEDSHI DODAMARG BANDA,103,16:01,20:30,NOBL,,,,,,,,ORD,126
26,1,11151,64034,सावंतवाडी,Sawantwadi,कुंभेश्वर,Kumbheshwar Gpo,DANOLI KESARI,20.8,06:00,06:40,OPN,,,,,,,,ORD,128
26,2,18444,64035,कुंभेश्वर,Kumbheshwar Gpo,सावंतवाडी,Sawantwadi,DANOLI KESARI,15,06:50,07:20,ST,,,,,,,,ORD,129
26,3,18619,4507,सावंतवाडी,Sawantwadi,रत्नागिरी,Ratnagiri,KUDAL KANKAVALI TALERE RAJAPUR LANJA PALI HATKHAMBA,184.8,07:30,12:25,NOBL,,,,,,,,MLD,130
,1,11101,4508,रत्नागिरी,Ratnagiri,सावंतवाडी,Sawantwadi,HATKHAMBA PALI LANJA RAJAPUR KANKAVALI KUDAL,184.8,17:00,21:50,NOBL,,,,,,,,MLD,132
27,1,60484,4502,देवरुख,Deorukh,सावंतवाडी,Sawantwadi,SAKHARPA BHAMBED WATULTITHA RAJAPUR KANKAVALI KUDAL,186.1,08:00,14:15,NOBL,,,,,,,,MLD,134
,7,118485,64174,सावंतवाडी,Sawantwadi,केर निडली,Ker,BANDA KALANE WANOSHI BHEDSHI TILARI,62.5,16:00,18:30,ST,,,,,,,,ORD,136
28,1,11112,64168,सावंतवाडी,Sawantwadi,आंबेगांव,Ambegaon,,11.5,07:15,07:45,ST,,,,,,,,ORD,138
28,2,17336,64169,आंबेगांव,Ambegaon,सावंतवाडी,Sawantwadi,,11.5,07:55,08:25,ST,,,,,,,,ORD,139
28,3,11161,64170,सावंतवाडी,Sawantwadi,ओटवणे,Otavane Kasar Dukan,,12.4,08:40,09:10,ST,,,,,,,,ORD,140
28,4,18611,64171,ओटवणे,Otavane Kasar Dukan,सावंतवाडी,Sawantwadi,,12.4,09:20,09:50,ST,,,,,,,,ORD,141
,2,11200,64624,सावंतवाडी,Sawantwadi,वेर्ले,Verle Temple,SANGELI KALAMBIST,24,09:45,11:00,ST,,,,,,,,ORD,143
,3,18787,64625,वेर्ले,Verle Temple,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,24,10:55,12:10,ST,,,,,,,,ORD,144
,1,11126,4501,सावंतवाडी,Sawantwadi,देवरुख,Deorukh,KUDAL KANKAVALI RAJAPUR WATULTITHA  BHAMBED SAKHARPA,186.1,12:30,18:45,NOBL,,,,,,,,MLD,146
29,1,11101,4512,रत्नागिरी,Ratnagiri,सावंतवाडी,Sawantwadi,HATKHAMBA PALI LANJA RAJAPUR KANKAVALI KUDAL,184.8,06:00,11:15,NOBL,,,,,,,,MLD,148
,1,18619,4511,सावंतवाडी,Sawantwadi,रत्नागिरी,Ratnagiri,KUDAL KANKAVALI TALERE RAJAPUR LANJA PALI HATKHAMBA,184.8,13:00,18:15,NOBL,,,,,,,,MLD,150
